Columna,Tipo de Dato
host_is_superhost,int64
host_listings_count,float64
host_total_listings_count,float64
host_has_profile_pic,int64
host_identity_verified,int64
accommodates,float64
beds,float64
minimum_nights,float64
maximum_nights,float64
minimum_minimum_nights,float64
maximum_minimum_nights,float64
minimum_maximum_nights,float64
maximum_maximum_nights,float64
minimum_nights_avg_ntm,float64
maximum_nights_avg_ntm,float64
has_availability,int64
availability_30,float64
availability_60,float64
availability_90,float64
availability_365,float64
number_of_reviews,float64
number_of_reviews_ltm,float64
number_of_reviews_l30d,float64
review_scores_rating,float64
review_scores_accuracy,float64
review_scores_cleanliness,float64
review_scores_checkin,float64
review_scores_communication,float64
review_scores_location,float64
review_scores_value,float64
instant_bookable,int64
calculated_host_listings_count,float64
calculated_host_listings_count_entire_homes,float64
calculated_host_listings_count_private_rooms,float64
calculated_host_listings_count_shared_rooms,float64
reviews_per_month,float64
p_phost_response_rate,float64
p_host_acceptance_rate,float64
tfidf_airbnb,float64
tfidf_apartment,float64
tfidf_boston,float64
tfidf_business,float64
tfidf_comfortable,float64
tfidf_enjoy,float64
tfidf_every,float64
tfidf_experience,float64
tfidf_family,float64
tfidf_furnished,float64
tfidf_guest,float64
tfidf_hospital,float64
tfidf_hosting,float64
tfidf_housing,float64
tfidf_provide,float64
tfidf_providing,float64
tfidf_rental,float64
tfidf_travel,float64
tfidf_welcome,float64
tfidf_youre,float64
p_host_since,float64
p_first_review,float64
p_last_review,float64
p_host_verifications_email,int64
p_host_verifications_phone,int64
p_host_verifications_work_email,int64
"p_host_location_Acton, MA",int64
"p_host_location_Andover, MA",int64
"p_host_location_Arlington, VA",int64
"p_host_location_Austin, TX",int64
"p_host_location_Barnstable, MA",int64
"p_host_location_Belvedere Tiburon, CA",int64
"p_host_location_Beverly, MA",int64
"p_host_location_Boston, MA",int64
"p_host_location_Braintree, MA",int64
"p_host_location_Brookline, MA",int64
"p_host_location_Cabrera, Dominican Republic",int64
"p_host_location_Cambridge, MA",int64
"p_host_location_Camden, NJ",int64
"p_host_location_Carlsbad, CA",int64
"p_host_location_Chantilly, VA",int64
"p_host_location_Clearwater, FL",int64
"p_host_location_Cohasset, MA",int64
"p_host_location_Dedham, MA",int64
"p_host_location_Denver, CO",int64
"p_host_location_Everett, MA",int64
"p_host_location_Fort Wayne, IN",int64
"p_host_location_Framingham, MA",int64
"p_host_location_Glenview, IL",int64
"p_host_location_Hawthorne, NJ",int64
"p_host_location_Ho Chi Minh City, Vietnam",int64
"p_host_location_Houston, TX",int64
"p_host_location_Incline Village, NV",int64
"p_host_location_Istanbul, Turkey",int64
"p_host_location_Jackson, NH",int64
p_host_location_Jamaica,int64
"p_host_location_Lancaster, MA",int64
"p_host_location_Lexington, MA",int64
"p_host_location_London, United Kingdom",int64
"p_host_location_Los Angeles, CA",int64
"p_host_location_Manchester-by-the-Sea, MA",int64
"p_host_location_Massachusetts, United States",int64
"p_host_location_Medford, MA",int64
"p_host_location_Medway, MA",int64
"p_host_location_Melrose, MA",int64
"p_host_location_Miami, FL",int64
"p_host_location_Milton, MA",int64
"p_host_location_Natick, MA",int64
"p_host_location_New York, NY",int64
"p_host_location_New York, United States",int64
"p_host_location_Newburyport, MA",int64
"p_host_location_Newton, MA",int64
"p_host_location_Niagara-on-the-Lake, Canada",int64
"p_host_location_Old Lyme, CT",int64
"p_host_location_Orlando, FL",int64
"p_host_location_Palm Coast, FL",int64
"p_host_location_Pasadena, CA",int64
"p_host_location_Pavones, Costa Rica",int64
"p_host_location_Quincy, MA",int64
"p_host_location_Randolph, MA",int64
"p_host_location_Salt Lake City, UT",int64
"p_host_location_San Francisco, CA",int64
"p_host_location_Savannah, GA",int64
"p_host_location_Sharon, MA",int64
"p_host_location_Shrewsbury, MA",int64
"p_host_location_Stoneham, MA",int64
"p_host_location_Swampscott, MA",int64
"p_host_location_São Paulo, Brazil",int64
"p_host_location_Texas, United States",int64
"p_host_location_Toronto, Canada",int64
p_host_location_United Kingdom,int64
p_host_location_United States,int64
"p_host_location_Vail, CO",int64
"p_host_location_Watertown, MA",int64
"p_host_location_Wayland, MA",int64
"p_host_location_Wellesley, MA",int64
"p_host_location_West Lafayette, IN",int64
"p_host_location_Winthrop, MA",int64
p_host_location_nan,int64
p_host_id_8229,int64
p_host_id_26988,int64
p_host_id_38997,int64
p_host_id_49383,int64
p_host_id_69587,int64
p_host_id_118371,int64
p_host_id_119019,int64
p_host_id_128280,int64
p_host_id_131662,int64
p_host_id_172007,int64
p_host_id_174986,int64
p_host_id_189855,int64
p_host_id_197327,int64
p_host_id_202410,int64
p_host_id_205107,int64
p_host_id_255183,int64
p_host_id_314576,int64
p_host_id_392021,int64
p_host_id_392970,int64
p_host_id_416912,int64
p_host_id_432317,int64
p_host_id_480310,int64
p_host_id_501427,int64
p_host_id_510840,int64
p_host_id_757253,int64
p_host_id_771785,int64
p_host_id_775932,int64
p_host_id_799496,int64
p_host_id_814298,int64
p_host_id_887148,int64
p_host_id_914769,int64
p_host_id_953185,int64
p_host_id_987917,int64
p_host_id_1035747,int64
p_host_id_1263583,int64
p_host_id_1355344,int64
p_host_id_1407005,int64
p_host_id_1414385,int64
p_host_id_1450086,int64
p_host_id_1521296,int64
p_host_id_1531239,int64
p_host_id_1755506,int64
p_host_id_1760577,int64
p_host_id_1770603,int64
p_host_id_1788949,int64
p_host_id_1911807,int64
p_host_id_1922657,int64
p_host_id_2006852,int64
p_host_id_2089913,int64
p_host_id_2127414,int64
p_host_id_2134782,int64
p_host_id_2236975,int64
p_host_id_2317686,int64
p_host_id_2355815,int64
p_host_id_2356643,int64
p_host_id_2707695,int64
p_host_id_2796552,int64
p_host_id_2881238,int64
p_host_id_2935501,int64
p_host_id_2964887,int64
p_host_id_3029783,int64
p_host_id_3033456,int64
p_host_id_3137257,int64
p_host_id_3201643,int64
p_host_id_3230419,int64
p_host_id_3335303,int64
p_host_id_3340035,int64
p_host_id_3521413,int64
p_host_id_3634393,int64
p_host_id_3637081,int64
p_host_id_3668535,int64
p_host_id_3731207,int64
p_host_id_3847479,int64
p_host_id_3851718,int64
p_host_id_3932821,int64
p_host_id_4061992,int64
p_host_id_4111092,int64
p_host_id_4161865,int64
p_host_id_4271667,int64
p_host_id_4366463,int64
p_host_id_4434391,int64
p_host_id_4436209,int64
p_host_id_4546050,int64
p_host_id_4611055,int64
p_host_id_4737456,int64
p_host_id_4762495,int64
p_host_id_4842537,int64
p_host_id_4883147,int64
p_host_id_5322468,int64
p_host_id_5408229,int64
p_host_id_5430185,int64
p_host_id_5578043,int64
p_host_id_5618949,int64
p_host_id_5681297,int64
p_host_id_5784364,int64
p_host_id_6428297,int64
p_host_id_6430732,int64
p_host_id_6518778,int64
p_host_id_6570954,int64
p_host_id_6574212,int64
p_host_id_6608084,int64
p_host_id_6775301,int64
p_host_id_6885890,int64
p_host_id_7303930,int64
p_host_id_7324551,int64
p_host_id_7353037,int64
p_host_id_7427795,int64
p_host_id_7437427,int64
p_host_id_7701185,int64
p_host_id_7723912,int64
p_host_id_7988017,int64
p_host_id_8157833,int64
p_host_id_8369475,int64
p_host_id_8441226,int64
p_host_id_8469839,int64
p_host_id_8503653,int64
p_host_id_8513158,int64
p_host_id_8814724,int64
p_host_id_8898973,int64
p_host_id_8955520,int64
p_host_id_8958031,int64
p_host_id_8985714,int64
p_host_id_9056166,int64
p_host_id_9073339,int64
p_host_id_9076046,int64
p_host_id_9410008,int64
p_host_id_9419684,int64
p_host_id_9529655,int64
p_host_id_9653086,int64
p_host_id_9658771,int64
p_host_id_9663343,int64
p_host_id_9705586,int64
p_host_id_9785157,int64
p_host_id_9795590,int64
p_host_id_9898255,int64
p_host_id_10085529,int64
p_host_id_10197317,int64
p_host_id_10250028,int64
p_host_id_10250257,int64
p_host_id_10502779,int64
